parent,child,parents,full
root,College & University,root,root|College & University
College & University,Trade School,root|College & University,root|College & University|Trade School
College & University,College Lab,root|College & University,root|College & University|College Lab
College & University,Student Center,root|College & University,root|College & University|Student Center
College & University,Fraternity House,root|College & University,root|College & University|Fraternity House
College & University,College Residence Hall,root|College & University,root|College & University|College Residence Hall
College & University,College Academic Building,root|College & University,root|College & University|College Academic Building
College Academic Building,College Arts Building,root|College & University|College Academic Building,root|College & University|College Academic Building|College Arts Building
College Academic Building,College Engineering Building,root|College & University|College Academic Building,root|College & University|College Academic Building|College Engineering Building
College Academic Building,College Technology Building,root|College & University|College Academic Building,root|College & University|College Academic Building|College Technology Building
College Academic Building,College Communications Building,root|College & University|College Academic Building,root|College & University|College Academic Building|College Communications Building
College Academic Building,College Science Building,root|College & University|College Academic Building,root|College & University|College Academic Building|College Science Building
College Academic Building,College History Building,root|College & University|College Academic Building,root|College & University|College Academic Building|College History Building
College Academic Building,College Math Building,root|College & University|College Academic Building,root|College & University|College Academic Building|College Math Building
College & University,Community College,root|College & University,root|College & University|Community College
College & University,General College & University,root|College & University,root|College & University|General College & University
College & University,University,root|College & University,root|College & University|University
College & University,College Bookstore,root|College & University,root|College & University|College Bookstore
College & University,College Gym,root|College & University,root|College & University|College Gym
College & University,College Stadium,root|College & University,root|College & University|College Stadium
College Stadium,College Soccer Field,root|College & University|College Stadium,root|College & University|College Stadium|College Soccer Field
College Stadium,College Baseball Diamond,root|College & University|College Stadium,root|College & University|College Stadium|College Baseball Diamond
College Stadium,College Tennis Court,root|College & University|College Stadium,root|College & University|College Stadium|College Tennis Court
College Stadium,College Basketball Court,root|College & University|College Stadium,root|College & University|College Stadium|College Basketball Court
College Stadium,College Cricket Pitch,root|College & University|College Stadium,root|College & University|College Stadium|College Cricket Pitch
College Stadium,College Hockey Rink,root|College & University|College Stadium,root|College & University|College Stadium|College Hockey Rink
College Stadium,College Football Field,root|College & University|College Stadium,root|College & University|College Stadium|College Football Field
College Stadium,College Track,root|College & University|College Stadium,root|College & University|College Stadium|College Track
College & University,College Theater,root|College & University,root|College & University|College Theater
College & University,College Rec Center,root|College & University,root|College & University|College Rec Center
College & University,Law School,root|College & University,root|College & University|Law School
College & University,College Classroom,root|College & University,root|College & University|College Classroom
College & University,College Cafeteria,root|College & University,root|College & University|College Cafeteria
College & University,College Auditorium,root|College & University,root|College & University|College Auditorium
College & University,College Library,root|College & University,root|College & University|College Library
College & University,College Quad,root|College & University,root|College & University|College Quad
College & University,Sorority House,root|College & University,root|College & University|Sorority House
College & University,Medical School,root|College & University,root|College & University|Medical School
College & University,College Administrative Building,root|College & University,root|College & University|College Administrative Building
root,Food,root,root|Food
Food,Italian Restaurant,root|Food,root|Food|Italian Restaurant
Italian Restaurant,Piadineria,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Piadineria
Italian Restaurant,Piedmontese Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Piedmontese Restaurant
Italian Restaurant,Tuscan Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Tuscan Restaurant
Italian Restaurant,Friuli Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Friuli Restaurant
Italian Restaurant,Marche Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Marche Restaurant
Italian Restaurant,Sardinian Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Sardinian Restaurant
Italian Restaurant,Veneto Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Veneto Restaurant
Italian Restaurant,Aosta Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Aosta Restaurant
Italian Restaurant,Umbrian Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Umbrian Restaurant
Italian Restaurant,Emilia Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Emilia Restaurant
Italian Restaurant,Agriturismo,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Agriturismo
Italian Restaurant,Malga,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Malga
